"(46.915636, 6.559072)","(46.915636, 6.5604194)","(46.915636, 6.5617668)","(46.915636, 6.563114199999999)","(46.915636, 6.5644616)","(46.915636, 6.565809)","(46.915636, 6.5671564)","(46.915636, 6.568503799999999)","(46.915636, 6.5698512)","(46.915636, 6.5711986)","(46.915636, 6.572546)","(46.915636, 6.573893399999999)","(46.915636, 6.5752407999999996)","(46.915636, 6.5765882)","(46.915636, 6.5779356)","(46.915636, 6.579282999999999)","(46.915636, 6.5806303999999995)","(46.915636, 6.5819778)","(46.915636, 6.5833252)","(46.915636, 6.584672599999999)"
"(46.9147388, 6.559072)","(46.9147388, 6.5604194)","(46.9147388, 6.5617668)","(46.9147388, 6.563114199999999)","(46.9147388, 6.5644616)","(46.9147388, 6.565809)","(46.9147388, 6.5671564)","(46.9147388, 6.568503799999999)","(46.9147388, 6.5698512)","(46.9147388, 6.5711986)","(46.9147388, 6.572546)","(46.9147388, 6.573893399999999)","(46.9147388, 6.5752407999999996)","(46.9147388, 6.5765882)","(46.9147388, 6.5779356)","(46.9147388, 6.579282999999999)","(46.9147388, 6.5806303999999995)","(46.9147388, 6.5819778)","(46.9147388, 6.5833252)","(46.9147388, 6.584672599999999)"
"(46.9138416, 6.559072)","(46.9138416, 6.5604194)","(46.9138416, 6.5617668)","(46.9138416, 6.563114199999999)","(46.9138416, 6.5644616)","(46.9138416, 6.565809)","(46.9138416, 6.5671564)","(46.9138416, 6.568503799999999)","(46.9138416, 6.5698512)","(46.9138416, 6.5711986)","(46.9138416, 6.572546)","(46.9138416, 6.573893399999999)","(46.9138416, 6.5752407999999996)","(46.9138416, 6.5765882)","(46.9138416, 6.5779356)","(46.9138416, 6.579282999999999)","(46.9138416, 6.5806303999999995)","(46.9138416, 6.5819778)","(46.9138416, 6.5833252)","(46.9138416, 6.584672599999999)"
"(46.9129444, 6.559072)","(46.9129444, 6.5604194)","(46.9129444, 6.5617668)","(46.9129444, 6.563114199999999)","(46.9129444, 6.5644616)","(46.9129444, 6.565809)","(46.9129444, 6.5671564)","(46.9129444, 6.568503799999999)","(46.9129444, 6.5698512)","(46.9129444, 6.5711986)","(46.9129444, 6.572546)","(46.9129444, 6.573893399999999)","(46.9129444, 6.5752407999999996)","(46.9129444, 6.5765882)","(46.9129444, 6.5779356)","(46.9129444, 6.579282999999999)","(46.9129444, 6.5806303999999995)","(46.9129444, 6.5819778)","(46.9129444, 6.5833252)","(46.9129444, 6.584672599999999)"
"(46.912047199999996, 6.559072)","(46.912047199999996, 6.5604194)","(46.912047199999996, 6.5617668)","(46.912047199999996, 6.563114199999999)","(46.912047199999996, 6.5644616)","(46.912047199999996, 6.565809)","(46.912047199999996, 6.5671564)","(46.912047199999996, 6.568503799999999)","(46.912047199999996, 6.5698512)","(46.912047199999996, 6.5711986)","(46.912047199999996, 6.572546)","(46.912047199999996, 6.573893399999999)","(46.912047199999996, 6.5752407999999996)","(46.912047199999996, 6.5765882)","(46.912047199999996, 6.5779356)","(46.912047199999996, 6.579282999999999)","(46.912047199999996, 6.5806303999999995)","(46.912047199999996, 6.5819778)","(46.912047199999996, 6.5833252)","(46.912047199999996, 6.584672599999999)"
"(46.91115, 6.559072)","(46.91115, 6.5604194)","(46.91115, 6.5617668)","(46.91115, 6.563114199999999)","(46.91115, 6.5644616)","(46.91115, 6.565809)","(46.91115, 6.5671564)","(46.91115, 6.568503799999999)","(46.91115, 6.5698512)","(46.91115, 6.5711986)","(46.91115, 6.572546)","(46.91115, 6.573893399999999)","(46.91115, 6.5752407999999996)","(46.91115, 6.5765882)","(46.91115, 6.5779356)","(46.91115, 6.579282999999999)","(46.91115, 6.5806303999999995)","(46.91115, 6.5819778)","(46.91115, 6.5833252)","(46.91115, 6.584672599999999)"
"(46.9102528, 6.559072)","(46.9102528, 6.5604194)","(46.9102528, 6.5617668)","(46.9102528, 6.563114199999999)","(46.9102528, 6.5644616)","(46.9102528, 6.565809)","(46.9102528, 6.5671564)","(46.9102528, 6.568503799999999)","(46.9102528, 6.5698512)","(46.9102528, 6.5711986)","(46.9102528, 6.572546)","(46.9102528, 6.573893399999999)","(46.9102528, 6.5752407999999996)","(46.9102528, 6.5765882)","(46.9102528, 6.5779356)","(46.9102528, 6.579282999999999)","(46.9102528, 6.5806303999999995)","(46.9102528, 6.5819778)","(46.9102528, 6.5833252)","(46.9102528, 6.584672599999999)"
"(46.9093556, 6.559072)","(46.9093556, 6.5604194)","(46.9093556, 6.5617668)","(46.9093556, 6.563114199999999)","(46.9093556, 6.5644616)","(46.9093556, 6.565809)","(46.9093556, 6.5671564)","(46.9093556, 6.568503799999999)","(46.9093556, 6.5698512)","(46.9093556, 6.5711986)","(46.9093556, 6.572546)","(46.9093556, 6.573893399999999)","(46.9093556, 6.5752407999999996)","(46.9093556, 6.5765882)","(46.9093556, 6.5779356)","(46.9093556, 6.579282999999999)","(46.9093556, 6.5806303999999995)","(46.9093556, 6.5819778)","(46.9093556, 6.5833252)","(46.9093556, 6.584672599999999)"
"(46.9084584, 6.559072)","(46.9084584, 6.5604194)","(46.9084584, 6.5617668)","(46.9084584, 6.563114199999999)","(46.9084584, 6.5644616)","(46.9084584, 6.565809)","(46.9084584, 6.5671564)","(46.9084584, 6.568503799999999)","(46.9084584, 6.5698512)","(46.9084584, 6.5711986)","(46.9084584, 6.572546)","(46.9084584, 6.573893399999999)","(46.9084584, 6.5752407999999996)","(46.9084584, 6.5765882)","(46.9084584, 6.5779356)","(46.9084584, 6.579282999999999)","(46.9084584, 6.5806303999999995)","(46.9084584, 6.5819778)","(46.9084584, 6.5833252)","(46.9084584, 6.584672599999999)"
"(46.907561199999996, 6.559072)","(46.907561199999996, 6.5604194)","(46.907561199999996, 6.5617668)","(46.907561199999996, 6.563114199999999)","(46.907561199999996, 6.5644616)","(46.907561199999996, 6.565809)","(46.907561199999996, 6.5671564)","(46.907561199999996, 6.568503799999999)","(46.907561199999996, 6.5698512)","(46.907561199999996, 6.5711986)","(46.907561199999996, 6.572546)","(46.907561199999996, 6.573893399999999)","(46.907561199999996, 6.5752407999999996)","(46.907561199999996, 6.5765882)","(46.907561199999996, 6.5779356)","(46.907561199999996, 6.579282999999999)","(46.907561199999996, 6.5806303999999995)","(46.907561199999996, 6.5819778)","(46.907561199999996, 6.5833252)","(46.907561199999996, 6.584672599999999)"
"(46.906664, 6.559072)","(46.906664, 6.5604194)","(46.906664, 6.5617668)","(46.906664, 6.563114199999999)","(46.906664, 6.5644616)","(46.906664, 6.565809)","(46.906664, 6.5671564)","(46.906664, 6.568503799999999)","(46.906664, 6.5698512)","(46.906664, 6.5711986)","(46.906664, 6.572546)","(46.906664, 6.573893399999999)","(46.906664, 6.5752407999999996)","(46.906664, 6.5765882)","(46.906664, 6.5779356)","(46.906664, 6.579282999999999)","(46.906664, 6.5806303999999995)","(46.906664, 6.5819778)","(46.906664, 6.5833252)","(46.906664, 6.584672599999999)"
