"(46.996792, 6.895455999999999)","(46.996792, 6.8968034)","(46.996792, 6.8981508)","(46.996792, 6.899498199999999)","(46.996792, 6.900845599999999)","(46.996792, 6.902193)","(46.996792, 6.9035404)","(46.996792, 6.904887799999999)","(46.996792, 6.906235199999999)","(46.996792, 6.9075826)","(46.996792, 6.90893)","(46.996792, 6.910277399999999)","(46.996792, 6.911624799999999)","(46.996792, 6.9129722)","(46.996792, 6.9143196)","(46.996792, 6.915666999999999)","(46.996792, 6.917014399999999)","(46.996792, 6.9183618)","(46.996792, 6.9197092)","(46.996792, 6.921056599999999)"
"(46.9958948, 6.895455999999999)","(46.9958948, 6.8968034)","(46.9958948, 6.8981508)","(46.9958948, 6.899498199999999)","(46.9958948, 6.900845599999999)","(46.9958948, 6.902193)","(46.9958948, 6.9035404)","(46.9958948, 6.904887799999999)","(46.9958948, 6.906235199999999)","(46.9958948, 6.9075826)","(46.9958948, 6.90893)","(46.9958948, 6.910277399999999)","(46.9958948, 6.911624799999999)","(46.9958948, 6.9129722)","(46.9958948, 6.9143196)","(46.9958948, 6.915666999999999)","(46.9958948, 6.917014399999999)","(46.9958948, 6.9183618)","(46.9958948, 6.9197092)","(46.9958948, 6.921056599999999)"
"(46.9949976, 6.895455999999999)","(46.9949976, 6.8968034)","(46.9949976, 6.8981508)","(46.9949976, 6.899498199999999)","(46.9949976, 6.900845599999999)","(46.9949976, 6.902193)","(46.9949976, 6.9035404)","(46.9949976, 6.904887799999999)","(46.9949976, 6.906235199999999)","(46.9949976, 6.9075826)","(46.9949976, 6.90893)","(46.9949976, 6.910277399999999)","(46.9949976, 6.911624799999999)","(46.9949976, 6.9129722)","(46.9949976, 6.9143196)","(46.9949976, 6.915666999999999)","(46.9949976, 6.917014399999999)","(46.9949976, 6.9183618)","(46.9949976, 6.9197092)","(46.9949976, 6.921056599999999)"
"(46.9941004, 6.895455999999999)","(46.9941004, 6.8968034)","(46.9941004, 6.8981508)","(46.9941004, 6.899498199999999)","(46.9941004, 6.900845599999999)","(46.9941004, 6.902193)","(46.9941004, 6.9035404)","(46.9941004, 6.904887799999999)","(46.9941004, 6.906235199999999)","(46.9941004, 6.9075826)","(46.9941004, 6.90893)","(46.9941004, 6.910277399999999)","(46.9941004, 6.911624799999999)","(46.9941004, 6.9129722)","(46.9941004, 6.9143196)","(46.9941004, 6.915666999999999)","(46.9941004, 6.917014399999999)","(46.9941004, 6.9183618)","(46.9941004, 6.9197092)","(46.9941004, 6.921056599999999)"
"(46.993203199999996, 6.895455999999999)","(46.993203199999996, 6.8968034)","(46.993203199999996, 6.8981508)","(46.993203199999996, 6.899498199999999)","(46.993203199999996, 6.900845599999999)","(46.993203199999996, 6.902193)","(46.993203199999996, 6.9035404)","(46.993203199999996, 6.904887799999999)","(46.993203199999996, 6.906235199999999)","(46.993203199999996, 6.9075826)","(46.993203199999996, 6.90893)","(46.993203199999996, 6.910277399999999)","(46.993203199999996, 6.911624799999999)","(46.993203199999996, 6.9129722)","(46.993203199999996, 6.9143196)","(46.993203199999996, 6.915666999999999)","(46.993203199999996, 6.917014399999999)","(46.993203199999996, 6.9183618)","(46.993203199999996, 6.9197092)","(46.993203199999996, 6.921056599999999)"
"(46.992306, 6.895455999999999)","(46.992306, 6.8968034)","(46.992306, 6.8981508)","(46.992306, 6.899498199999999)","(46.992306, 6.900845599999999)","(46.992306, 6.902193)","(46.992306, 6.9035404)","(46.992306, 6.904887799999999)","(46.992306, 6.906235199999999)","(46.992306, 6.9075826)","(46.992306, 6.90893)","(46.992306, 6.910277399999999)","(46.992306, 6.911624799999999)","(46.992306, 6.9129722)","(46.992306, 6.9143196)","(46.992306, 6.915666999999999)","(46.992306, 6.917014399999999)","(46.992306, 6.9183618)","(46.992306, 6.9197092)","(46.992306, 6.921056599999999)"
"(46.9914088, 6.895455999999999)","(46.9914088, 6.8968034)","(46.9914088, 6.8981508)","(46.9914088, 6.899498199999999)","(46.9914088, 6.900845599999999)","(46.9914088, 6.902193)","(46.9914088, 6.9035404)","(46.9914088, 6.904887799999999)","(46.9914088, 6.906235199999999)","(46.9914088, 6.9075826)","(46.9914088, 6.90893)","(46.9914088, 6.910277399999999)","(46.9914088, 6.911624799999999)","(46.9914088, 6.9129722)","(46.9914088, 6.9143196)","(46.9914088, 6.915666999999999)","(46.9914088, 6.917014399999999)","(46.9914088, 6.9183618)","(46.9914088, 6.9197092)","(46.9914088, 6.921056599999999)"
"(46.9905116, 6.895455999999999)","(46.9905116, 6.8968034)","(46.9905116, 6.8981508)","(46.9905116, 6.899498199999999)","(46.9905116, 6.900845599999999)","(46.9905116, 6.902193)","(46.9905116, 6.9035404)","(46.9905116, 6.904887799999999)","(46.9905116, 6.906235199999999)","(46.9905116, 6.9075826)","(46.9905116, 6.90893)","(46.9905116, 6.910277399999999)","(46.9905116, 6.911624799999999)","(46.9905116, 6.9129722)","(46.9905116, 6.9143196)","(46.9905116, 6.915666999999999)","(46.9905116, 6.917014399999999)","(46.9905116, 6.9183618)","(46.9905116, 6.9197092)","(46.9905116, 6.921056599999999)"
"(46.9896144, 6.895455999999999)","(46.9896144, 6.8968034)","(46.9896144, 6.8981508)","(46.9896144, 6.899498199999999)","(46.9896144, 6.900845599999999)","(46.9896144, 6.902193)","(46.9896144, 6.9035404)","(46.9896144, 6.904887799999999)","(46.9896144, 6.906235199999999)","(46.9896144, 6.9075826)","(46.9896144, 6.90893)","(46.9896144, 6.910277399999999)","(46.9896144, 6.911624799999999)","(46.9896144, 6.9129722)","(46.9896144, 6.9143196)","(46.9896144, 6.915666999999999)","(46.9896144, 6.917014399999999)","(46.9896144, 6.9183618)","(46.9896144, 6.9197092)","(46.9896144, 6.921056599999999)"
"(46.988717199999996, 6.895455999999999)","(46.988717199999996, 6.8968034)","(46.988717199999996, 6.8981508)","(46.988717199999996, 6.899498199999999)","(46.988717199999996, 6.900845599999999)","(46.988717199999996, 6.902193)","(46.988717199999996, 6.9035404)","(46.988717199999996, 6.904887799999999)","(46.988717199999996, 6.906235199999999)","(46.988717199999996, 6.9075826)","(46.988717199999996, 6.90893)","(46.988717199999996, 6.910277399999999)","(46.988717199999996, 6.911624799999999)","(46.988717199999996, 6.9129722)","(46.988717199999996, 6.9143196)","(46.988717199999996, 6.915666999999999)","(46.988717199999996, 6.917014399999999)","(46.988717199999996, 6.9183618)","(46.988717199999996, 6.9197092)","(46.988717199999996, 6.921056599999999)"
"(46.98782, 6.895455999999999)","(46.98782, 6.8968034)","(46.98782, 6.8981508)","(46.98782, 6.899498199999999)","(46.98782, 6.900845599999999)","(46.98782, 6.902193)","(46.98782, 6.9035404)","(46.98782, 6.904887799999999)","(46.98782, 6.906235199999999)","(46.98782, 6.9075826)","(46.98782, 6.90893)","(46.98782, 6.910277399999999)","(46.98782, 6.911624799999999)","(46.98782, 6.9129722)","(46.98782, 6.9143196)","(46.98782, 6.915666999999999)","(46.98782, 6.917014399999999)","(46.98782, 6.9183618)","(46.98782, 6.9197092)","(46.98782, 6.921056599999999)"
"(46.9869228, 6.895455999999999)","(46.9869228, 6.8968034)","(46.9869228, 6.8981508)","(46.9869228, 6.899498199999999)","(46.9869228, 6.900845599999999)","(46.9869228, 6.902193)","(46.9869228, 6.9035404)","(46.9869228, 6.904887799999999)","(46.9869228, 6.906235199999999)","(46.9869228, 6.9075826)","(46.9869228, 6.90893)","(46.9869228, 6.910277399999999)","(46.9869228, 6.911624799999999)","(46.9869228, 6.9129722)","(46.9869228, 6.9143196)","(46.9869228, 6.915666999999999)","(46.9869228, 6.917014399999999)","(46.9869228, 6.9183618)","(46.9869228, 6.9197092)","(46.9869228, 6.921056599999999)"
"(46.9860256, 6.895455999999999)","(46.9860256, 6.8968034)","(46.9860256, 6.8981508)","(46.9860256, 6.899498199999999)","(46.9860256, 6.900845599999999)","(46.9860256, 6.902193)","(46.9860256, 6.9035404)","(46.9860256, 6.904887799999999)","(46.9860256, 6.906235199999999)","(46.9860256, 6.9075826)","(46.9860256, 6.90893)","(46.9860256, 6.910277399999999)","(46.9860256, 6.911624799999999)","(46.9860256, 6.9129722)","(46.9860256, 6.9143196)","(46.9860256, 6.915666999999999)","(46.9860256, 6.917014399999999)","(46.9860256, 6.9183618)","(46.9860256, 6.9197092)","(46.9860256, 6.921056599999999)"
"(46.9851284, 6.895455999999999)","(46.9851284, 6.8968034)","(46.9851284, 6.8981508)","(46.9851284, 6.899498199999999)","(46.9851284, 6.900845599999999)","(46.9851284, 6.902193)","(46.9851284, 6.9035404)","(46.9851284, 6.904887799999999)","(46.9851284, 6.906235199999999)","(46.9851284, 6.9075826)","(46.9851284, 6.90893)","(46.9851284, 6.910277399999999)","(46.9851284, 6.911624799999999)","(46.9851284, 6.9129722)","(46.9851284, 6.9143196)","(46.9851284, 6.915666999999999)","(46.9851284, 6.917014399999999)","(46.9851284, 6.9183618)","(46.9851284, 6.9197092)","(46.9851284, 6.921056599999999)"
