"(-54.88743189362755, -65.61953004096627)","(-54.88743189362755, -65.60385957586965)","(-54.88743189362755, -65.58818911077302)","(-54.88743189362755, -65.5725186456764)","(-54.88743189362755, -65.55684818057976)","(-54.88743189362755, -65.54117771548314)","(-54.88743189362755, -65.52550725038651)","(-54.88743189362755, -65.50983678528989)","(-54.88743189362755, -65.49416632019326)","(-54.88743189362755, -65.47849585509664)","(-54.88743189362755, -65.46282539)","(-54.88743189362755, -65.44715492490339)","(-54.88743189362755, -65.43148445980675)","(-54.88743189362755, -65.41581399471013)","(-54.88743189362755, -65.4001435296135)","(-54.88743189362755, -65.38447306451688)","(-54.88743189362755, -65.36880259942025)","(-54.88743189362755, -65.35313213432363)","(-54.88743189362755, -65.337461669227)","(-54.88743189362755, -65.32179120413038)"
"(-54.896425097264796, -65.61953004096627)","(-54.896425097264796, -65.60385957586965)","(-54.896425097264796, -65.58818911077302)","(-54.896425097264796, -65.5725186456764)","(-54.896425097264796, -65.55684818057976)","(-54.896425097264796, -65.54117771548314)","(-54.896425097264796, -65.52550725038651)","(-54.896425097264796, -65.50983678528989)","(-54.896425097264796, -65.49416632019326)","(-54.896425097264796, -65.47849585509664)","(-54.896425097264796, -65.46282539)","(-54.896425097264796, -65.44715492490339)","(-54.896425097264796, -65.43148445980675)","(-54.896425097264796, -65.41581399471013)","(-54.896425097264796, -65.4001435296135)","(-54.896425097264796, -65.38447306451688)","(-54.896425097264796, -65.36880259942025)","(-54.896425097264796, -65.35313213432363)","(-54.896425097264796, -65.337461669227)","(-54.896425097264796, -65.32179120413038)"
"(-54.90541830090204, -65.61953004096627)","(-54.90541830090204, -65.60385957586965)","(-54.90541830090204, -65.58818911077302)","(-54.90541830090204, -65.5725186456764)","(-54.90541830090204, -65.55684818057976)","(-54.90541830090204, -65.54117771548314)","(-54.90541830090204, -65.52550725038651)","(-54.90541830090204, -65.50983678528989)","(-54.90541830090204, -65.49416632019326)","(-54.90541830090204, -65.47849585509664)","(-54.90541830090204, -65.46282539)","(-54.90541830090204, -65.44715492490339)","(-54.90541830090204, -65.43148445980675)","(-54.90541830090204, -65.41581399471013)","(-54.90541830090204, -65.4001435296135)","(-54.90541830090204, -65.38447306451688)","(-54.90541830090204, -65.36880259942025)","(-54.90541830090204, -65.35313213432363)","(-54.90541830090204, -65.337461669227)","(-54.90541830090204, -65.32179120413038)"
"(-54.91441150453929, -65.61953004096627)","(-54.91441150453929, -65.60385957586965)","(-54.91441150453929, -65.58818911077302)","(-54.91441150453929, -65.5725186456764)","(-54.91441150453929, -65.55684818057976)","(-54.91441150453929, -65.54117771548314)","(-54.91441150453929, -65.52550725038651)","(-54.91441150453929, -65.50983678528989)","(-54.91441150453929, -65.49416632019326)","(-54.91441150453929, -65.47849585509664)","(-54.91441150453929, -65.46282539)","(-54.91441150453929, -65.44715492490339)","(-54.91441150453929, -65.43148445980675)","(-54.91441150453929, -65.41581399471013)","(-54.91441150453929, -65.4001435296135)","(-54.91441150453929, -65.38447306451688)","(-54.91441150453929, -65.36880259942025)","(-54.91441150453929, -65.35313213432363)","(-54.91441150453929, -65.337461669227)","(-54.91441150453929, -65.32179120413038)"
"(-54.923404708176534, -65.61953004096627)","(-54.923404708176534, -65.60385957586965)","(-54.923404708176534, -65.58818911077302)","(-54.923404708176534, -65.5725186456764)","(-54.923404708176534, -65.55684818057976)","(-54.923404708176534, -65.54117771548314)","(-54.923404708176534, -65.52550725038651)","(-54.923404708176534, -65.50983678528989)","(-54.923404708176534, -65.49416632019326)","(-54.923404708176534, -65.47849585509664)","(-54.923404708176534, -65.46282539)","(-54.923404708176534, -65.44715492490339)","(-54.923404708176534, -65.43148445980675)","(-54.923404708176534, -65.41581399471013)","(-54.923404708176534, -65.4001435296135)","(-54.923404708176534, -65.38447306451688)","(-54.923404708176534, -65.36880259942025)","(-54.923404708176534, -65.35313213432363)","(-54.923404708176534, -65.337461669227)","(-54.923404708176534, -65.32179120413038)"
"(-54.93239791181378, -65.61953004096627)","(-54.93239791181378, -65.60385957586965)","(-54.93239791181378, -65.58818911077302)","(-54.93239791181378, -65.5725186456764)","(-54.93239791181378, -65.55684818057976)","(-54.93239791181378, -65.54117771548314)","(-54.93239791181378, -65.52550725038651)","(-54.93239791181378, -65.50983678528989)","(-54.93239791181378, -65.49416632019326)","(-54.93239791181378, -65.47849585509664)","(-54.93239791181378, -65.46282539)","(-54.93239791181378, -65.44715492490339)","(-54.93239791181378, -65.43148445980675)","(-54.93239791181378, -65.41581399471013)","(-54.93239791181378, -65.4001435296135)","(-54.93239791181378, -65.38447306451688)","(-54.93239791181378, -65.36880259942025)","(-54.93239791181378, -65.35313213432363)","(-54.93239791181378, -65.337461669227)","(-54.93239791181378, -65.32179120413038)"
"(-54.94139111545102, -65.61953004096627)","(-54.94139111545102, -65.60385957586965)","(-54.94139111545102, -65.58818911077302)","(-54.94139111545102, -65.5725186456764)","(-54.94139111545102, -65.55684818057976)","(-54.94139111545102, -65.54117771548314)","(-54.94139111545102, -65.52550725038651)","(-54.94139111545102, -65.50983678528989)","(-54.94139111545102, -65.49416632019326)","(-54.94139111545102, -65.47849585509664)","(-54.94139111545102, -65.46282539)","(-54.94139111545102, -65.44715492490339)","(-54.94139111545102, -65.43148445980675)","(-54.94139111545102, -65.41581399471013)","(-54.94139111545102, -65.4001435296135)","(-54.94139111545102, -65.38447306451688)","(-54.94139111545102, -65.36880259942025)","(-54.94139111545102, -65.35313213432363)","(-54.94139111545102, -65.337461669227)","(-54.94139111545102, -65.32179120413038)"
"(-54.950384319088265, -65.61953004096627)","(-54.950384319088265, -65.60385957586965)","(-54.950384319088265, -65.58818911077302)","(-54.950384319088265, -65.5725186456764)","(-54.950384319088265, -65.55684818057976)","(-54.950384319088265, -65.54117771548314)","(-54.950384319088265, -65.52550725038651)","(-54.950384319088265, -65.50983678528989)","(-54.950384319088265, -65.49416632019326)","(-54.950384319088265, -65.47849585509664)","(-54.950384319088265, -65.46282539)","(-54.950384319088265, -65.44715492490339)","(-54.950384319088265, -65.43148445980675)","(-54.950384319088265, -65.41581399471013)","(-54.950384319088265, -65.4001435296135)","(-54.950384319088265, -65.38447306451688)","(-54.950384319088265, -65.36880259942025)","(-54.950384319088265, -65.35313213432363)","(-54.950384319088265, -65.337461669227)","(-54.950384319088265, -65.32179120413038)"
"(-54.95937752272551, -65.61953004096627)","(-54.95937752272551, -65.60385957586965)","(-54.95937752272551, -65.58818911077302)","(-54.95937752272551, -65.5725186456764)","(-54.95937752272551, -65.55684818057976)","(-54.95937752272551, -65.54117771548314)","(-54.95937752272551, -65.52550725038651)","(-54.95937752272551, -65.50983678528989)","(-54.95937752272551, -65.49416632019326)","(-54.95937752272551, -65.47849585509664)","(-54.95937752272551, -65.46282539)","(-54.95937752272551, -65.44715492490339)","(-54.95937752272551, -65.43148445980675)","(-54.95937752272551, -65.41581399471013)","(-54.95937752272551, -65.4001435296135)","(-54.95937752272551, -65.38447306451688)","(-54.95937752272551, -65.36880259942025)","(-54.95937752272551, -65.35313213432363)","(-54.95937752272551, -65.337461669227)","(-54.95937752272551, -65.32179120413038)"
"(-54.96837072636276, -65.61953004096627)","(-54.96837072636276, -65.60385957586965)","(-54.96837072636276, -65.58818911077302)","(-54.96837072636276, -65.5725186456764)","(-54.96837072636276, -65.55684818057976)","(-54.96837072636276, -65.54117771548314)","(-54.96837072636276, -65.52550725038651)","(-54.96837072636276, -65.50983678528989)","(-54.96837072636276, -65.49416632019326)","(-54.96837072636276, -65.47849585509664)","(-54.96837072636276, -65.46282539)","(-54.96837072636276, -65.44715492490339)","(-54.96837072636276, -65.43148445980675)","(-54.96837072636276, -65.41581399471013)","(-54.96837072636276, -65.4001435296135)","(-54.96837072636276, -65.38447306451688)","(-54.96837072636276, -65.36880259942025)","(-54.96837072636276, -65.35313213432363)","(-54.96837072636276, -65.337461669227)","(-54.96837072636276, -65.32179120413038)"
"(-54.97736393, -65.61953004096627)","(-54.97736393, -65.60385957586965)","(-54.97736393, -65.58818911077302)","(-54.97736393, -65.5725186456764)","(-54.97736393, -65.55684818057976)","(-54.97736393, -65.54117771548314)","(-54.97736393, -65.52550725038651)","(-54.97736393, -65.50983678528989)","(-54.97736393, -65.49416632019326)","(-54.97736393, -65.47849585509664)","(-54.97736393, -65.46282539)","(-54.97736393, -65.44715492490339)","(-54.97736393, -65.43148445980675)","(-54.97736393, -65.41581399471013)","(-54.97736393, -65.4001435296135)","(-54.97736393, -65.38447306451688)","(-54.97736393, -65.36880259942025)","(-54.97736393, -65.35313213432363)","(-54.97736393, -65.337461669227)","(-54.97736393, -65.32179120413038)"
