"(46.46477545727449, 6.879885344089278)","(46.46477545727449, 6.88249576468035)","(46.46477545727449, 6.885106185271423)","(46.46477545727449, 6.887716605862495)","(46.46477545727449, 6.8903270264535665)","(46.46477545727449, 6.892937447044639)","(46.46477545727449, 6.895547867635711)","(46.46477545727449, 6.898158288226783)","(46.46477545727449, 6.900768708817855)","(46.46477545727449, 6.903379129408928)","(46.46477545727449, 6.90598955)","(46.46477545727449, 6.908599970591072)","(46.46477545727449, 6.911210391182145)","(46.46477545727449, 6.913820811773217)","(46.46477545727449, 6.916431232364289)","(46.46477545727449, 6.919041652955361)","(46.46477545727449, 6.921652073546434)","(46.46477545727449, 6.924262494137506)","(46.46477545727449, 6.926872914728578)","(46.46477545727449, 6.9294833353196505)"
"(46.46297681654704, 6.879885344089278)","(46.46297681654704, 6.88249576468035)","(46.46297681654704, 6.885106185271423)","(46.46297681654704, 6.887716605862495)","(46.46297681654704, 6.8903270264535665)","(46.46297681654704, 6.892937447044639)","(46.46297681654704, 6.895547867635711)","(46.46297681654704, 6.898158288226783)","(46.46297681654704, 6.900768708817855)","(46.46297681654704, 6.903379129408928)","(46.46297681654704, 6.90598955)","(46.46297681654704, 6.908599970591072)","(46.46297681654704, 6.911210391182145)","(46.46297681654704, 6.913820811773217)","(46.46297681654704, 6.916431232364289)","(46.46297681654704, 6.919041652955361)","(46.46297681654704, 6.921652073546434)","(46.46297681654704, 6.924262494137506)","(46.46297681654704, 6.926872914728578)","(46.46297681654704, 6.9294833353196505)"
"(46.46117817581959, 6.879885344089278)","(46.46117817581959, 6.88249576468035)","(46.46117817581959, 6.885106185271423)","(46.46117817581959, 6.887716605862495)","(46.46117817581959, 6.8903270264535665)","(46.46117817581959, 6.892937447044639)","(46.46117817581959, 6.895547867635711)","(46.46117817581959, 6.898158288226783)","(46.46117817581959, 6.900768708817855)","(46.46117817581959, 6.903379129408928)","(46.46117817581959, 6.90598955)","(46.46117817581959, 6.908599970591072)","(46.46117817581959, 6.911210391182145)","(46.46117817581959, 6.913820811773217)","(46.46117817581959, 6.916431232364289)","(46.46117817581959, 6.919041652955361)","(46.46117817581959, 6.921652073546434)","(46.46117817581959, 6.924262494137506)","(46.46117817581959, 6.926872914728578)","(46.46117817581959, 6.9294833353196505)"
"(46.45937953509215, 6.879885344089278)","(46.45937953509215, 6.88249576468035)","(46.45937953509215, 6.885106185271423)","(46.45937953509215, 6.887716605862495)","(46.45937953509215, 6.8903270264535665)","(46.45937953509215, 6.892937447044639)","(46.45937953509215, 6.895547867635711)","(46.45937953509215, 6.898158288226783)","(46.45937953509215, 6.900768708817855)","(46.45937953509215, 6.903379129408928)","(46.45937953509215, 6.90598955)","(46.45937953509215, 6.908599970591072)","(46.45937953509215, 6.911210391182145)","(46.45937953509215, 6.913820811773217)","(46.45937953509215, 6.916431232364289)","(46.45937953509215, 6.919041652955361)","(46.45937953509215, 6.921652073546434)","(46.45937953509215, 6.924262494137506)","(46.45937953509215, 6.926872914728578)","(46.45937953509215, 6.9294833353196505)"
"(46.457580894364696, 6.879885344089278)","(46.457580894364696, 6.88249576468035)","(46.457580894364696, 6.885106185271423)","(46.457580894364696, 6.887716605862495)","(46.457580894364696, 6.8903270264535665)","(46.457580894364696, 6.892937447044639)","(46.457580894364696, 6.895547867635711)","(46.457580894364696, 6.898158288226783)","(46.457580894364696, 6.900768708817855)","(46.457580894364696, 6.903379129408928)","(46.457580894364696, 6.90598955)","(46.457580894364696, 6.908599970591072)","(46.457580894364696, 6.911210391182145)","(46.457580894364696, 6.913820811773217)","(46.457580894364696, 6.916431232364289)","(46.457580894364696, 6.919041652955361)","(46.457580894364696, 6.921652073546434)","(46.457580894364696, 6.924262494137506)","(46.457580894364696, 6.926872914728578)","(46.457580894364696, 6.9294833353196505)"
"(46.455782253637246, 6.879885344089278)","(46.455782253637246, 6.88249576468035)","(46.455782253637246, 6.885106185271423)","(46.455782253637246, 6.887716605862495)","(46.455782253637246, 6.8903270264535665)","(46.455782253637246, 6.892937447044639)","(46.455782253637246, 6.895547867635711)","(46.455782253637246, 6.898158288226783)","(46.455782253637246, 6.900768708817855)","(46.455782253637246, 6.903379129408928)","(46.455782253637246, 6.90598955)","(46.455782253637246, 6.908599970591072)","(46.455782253637246, 6.911210391182145)","(46.455782253637246, 6.913820811773217)","(46.455782253637246, 6.916431232364289)","(46.455782253637246, 6.919041652955361)","(46.455782253637246, 6.921652073546434)","(46.455782253637246, 6.924262494137506)","(46.455782253637246, 6.926872914728578)","(46.455782253637246, 6.9294833353196505)"
"(46.453983612909795, 6.879885344089278)","(46.453983612909795, 6.88249576468035)","(46.453983612909795, 6.885106185271423)","(46.453983612909795, 6.887716605862495)","(46.453983612909795, 6.8903270264535665)","(46.453983612909795, 6.892937447044639)","(46.453983612909795, 6.895547867635711)","(46.453983612909795, 6.898158288226783)","(46.453983612909795, 6.900768708817855)","(46.453983612909795, 6.903379129408928)","(46.453983612909795, 6.90598955)","(46.453983612909795, 6.908599970591072)","(46.453983612909795, 6.911210391182145)","(46.453983612909795, 6.913820811773217)","(46.453983612909795, 6.916431232364289)","(46.453983612909795, 6.919041652955361)","(46.453983612909795, 6.921652073546434)","(46.453983612909795, 6.924262494137506)","(46.453983612909795, 6.926872914728578)","(46.453983612909795, 6.9294833353196505)"
"(46.45218497218235, 6.879885344089278)","(46.45218497218235, 6.88249576468035)","(46.45218497218235, 6.885106185271423)","(46.45218497218235, 6.887716605862495)","(46.45218497218235, 6.8903270264535665)","(46.45218497218235, 6.892937447044639)","(46.45218497218235, 6.895547867635711)","(46.45218497218235, 6.898158288226783)","(46.45218497218235, 6.900768708817855)","(46.45218497218235, 6.903379129408928)","(46.45218497218235, 6.90598955)","(46.45218497218235, 6.908599970591072)","(46.45218497218235, 6.911210391182145)","(46.45218497218235, 6.913820811773217)","(46.45218497218235, 6.916431232364289)","(46.45218497218235, 6.919041652955361)","(46.45218497218235, 6.921652073546434)","(46.45218497218235, 6.924262494137506)","(46.45218497218235, 6.926872914728578)","(46.45218497218235, 6.9294833353196505)"
"(46.4503863314549, 6.879885344089278)","(46.4503863314549, 6.88249576468035)","(46.4503863314549, 6.885106185271423)","(46.4503863314549, 6.887716605862495)","(46.4503863314549, 6.8903270264535665)","(46.4503863314549, 6.892937447044639)","(46.4503863314549, 6.895547867635711)","(46.4503863314549, 6.898158288226783)","(46.4503863314549, 6.900768708817855)","(46.4503863314549, 6.903379129408928)","(46.4503863314549, 6.90598955)","(46.4503863314549, 6.908599970591072)","(46.4503863314549, 6.911210391182145)","(46.4503863314549, 6.913820811773217)","(46.4503863314549, 6.916431232364289)","(46.4503863314549, 6.919041652955361)","(46.4503863314549, 6.921652073546434)","(46.4503863314549, 6.924262494137506)","(46.4503863314549, 6.926872914728578)","(46.4503863314549, 6.9294833353196505)"
"(46.44858769072745, 6.879885344089278)","(46.44858769072745, 6.88249576468035)","(46.44858769072745, 6.885106185271423)","(46.44858769072745, 6.887716605862495)","(46.44858769072745, 6.8903270264535665)","(46.44858769072745, 6.892937447044639)","(46.44858769072745, 6.895547867635711)","(46.44858769072745, 6.898158288226783)","(46.44858769072745, 6.900768708817855)","(46.44858769072745, 6.903379129408928)","(46.44858769072745, 6.90598955)","(46.44858769072745, 6.908599970591072)","(46.44858769072745, 6.911210391182145)","(46.44858769072745, 6.913820811773217)","(46.44858769072745, 6.916431232364289)","(46.44858769072745, 6.919041652955361)","(46.44858769072745, 6.921652073546434)","(46.44858769072745, 6.924262494137506)","(46.44858769072745, 6.926872914728578)","(46.44858769072745, 6.9294833353196505)"
"(46.44678905, 6.879885344089278)","(46.44678905, 6.88249576468035)","(46.44678905, 6.885106185271423)","(46.44678905, 6.887716605862495)","(46.44678905, 6.8903270264535665)","(46.44678905, 6.892937447044639)","(46.44678905, 6.895547867635711)","(46.44678905, 6.898158288226783)","(46.44678905, 6.900768708817855)","(46.44678905, 6.903379129408928)","(46.44678905, 6.90598955)","(46.44678905, 6.908599970591072)","(46.44678905, 6.911210391182145)","(46.44678905, 6.913820811773217)","(46.44678905, 6.916431232364289)","(46.44678905, 6.919041652955361)","(46.44678905, 6.921652073546434)","(46.44678905, 6.924262494137506)","(46.44678905, 6.926872914728578)","(46.44678905, 6.9294833353196505)"
