"(46.95000620727449, 6.696672921402814)","(46.95000620727449, 6.699306899262533)","(46.95000620727449, 6.701940877122251)","(46.95000620727449, 6.70457485498197)","(46.95000620727449, 6.707208832841689)","(46.95000620727449, 6.7098428107014065)","(46.95000620727449, 6.712476788561125)","(46.95000620727449, 6.715110766420844)","(46.95000620727449, 6.717744744280563)","(46.95000620727449, 6.720378722140281)","(46.95000620727449, 6.7230127)","(46.95000620727449, 6.725646677859719)","(46.95000620727449, 6.728280655719437)","(46.95000620727449, 6.730914633579156)","(46.95000620727449, 6.7335486114388745)","(46.95000620727449, 6.7361825892985925)","(46.95000620727449, 6.738816567158311)","(46.95000620727449, 6.74145054501803)","(46.95000620727449, 6.744084522877748)","(46.95000620727449, 6.746718500737467)"
"(46.94820756654704, 6.696672921402814)","(46.94820756654704, 6.699306899262533)","(46.94820756654704, 6.701940877122251)","(46.94820756654704, 6.70457485498197)","(46.94820756654704, 6.707208832841689)","(46.94820756654704, 6.7098428107014065)","(46.94820756654704, 6.712476788561125)","(46.94820756654704, 6.715110766420844)","(46.94820756654704, 6.717744744280563)","(46.94820756654704, 6.720378722140281)","(46.94820756654704, 6.7230127)","(46.94820756654704, 6.725646677859719)","(46.94820756654704, 6.728280655719437)","(46.94820756654704, 6.730914633579156)","(46.94820756654704, 6.7335486114388745)","(46.94820756654704, 6.7361825892985925)","(46.94820756654704, 6.738816567158311)","(46.94820756654704, 6.74145054501803)","(46.94820756654704, 6.744084522877748)","(46.94820756654704, 6.746718500737467)"
"(46.94640892581959, 6.696672921402814)","(46.94640892581959, 6.699306899262533)","(46.94640892581959, 6.701940877122251)","(46.94640892581959, 6.70457485498197)","(46.94640892581959, 6.707208832841689)","(46.94640892581959, 6.7098428107014065)","(46.94640892581959, 6.712476788561125)","(46.94640892581959, 6.715110766420844)","(46.94640892581959, 6.717744744280563)","(46.94640892581959, 6.720378722140281)","(46.94640892581959, 6.7230127)","(46.94640892581959, 6.725646677859719)","(46.94640892581959, 6.728280655719437)","(46.94640892581959, 6.730914633579156)","(46.94640892581959, 6.7335486114388745)","(46.94640892581959, 6.7361825892985925)","(46.94640892581959, 6.738816567158311)","(46.94640892581959, 6.74145054501803)","(46.94640892581959, 6.744084522877748)","(46.94640892581959, 6.746718500737467)"
"(46.944610285092146, 6.696672921402814)","(46.944610285092146, 6.699306899262533)","(46.944610285092146, 6.701940877122251)","(46.944610285092146, 6.70457485498197)","(46.944610285092146, 6.707208832841689)","(46.944610285092146, 6.7098428107014065)","(46.944610285092146, 6.712476788561125)","(46.944610285092146, 6.715110766420844)","(46.944610285092146, 6.717744744280563)","(46.944610285092146, 6.720378722140281)","(46.944610285092146, 6.7230127)","(46.944610285092146, 6.725646677859719)","(46.944610285092146, 6.728280655719437)","(46.944610285092146, 6.730914633579156)","(46.944610285092146, 6.7335486114388745)","(46.944610285092146, 6.7361825892985925)","(46.944610285092146, 6.738816567158311)","(46.944610285092146, 6.74145054501803)","(46.944610285092146, 6.744084522877748)","(46.944610285092146, 6.746718500737467)"
"(46.942811644364696, 6.696672921402814)","(46.942811644364696, 6.699306899262533)","(46.942811644364696, 6.701940877122251)","(46.942811644364696, 6.70457485498197)","(46.942811644364696, 6.707208832841689)","(46.942811644364696, 6.7098428107014065)","(46.942811644364696, 6.712476788561125)","(46.942811644364696, 6.715110766420844)","(46.942811644364696, 6.717744744280563)","(46.942811644364696, 6.720378722140281)","(46.942811644364696, 6.7230127)","(46.942811644364696, 6.725646677859719)","(46.942811644364696, 6.728280655719437)","(46.942811644364696, 6.730914633579156)","(46.942811644364696, 6.7335486114388745)","(46.942811644364696, 6.7361825892985925)","(46.942811644364696, 6.738816567158311)","(46.942811644364696, 6.74145054501803)","(46.942811644364696, 6.744084522877748)","(46.942811644364696, 6.746718500737467)"
"(46.941013003637245, 6.696672921402814)","(46.941013003637245, 6.699306899262533)","(46.941013003637245, 6.701940877122251)","(46.941013003637245, 6.70457485498197)","(46.941013003637245, 6.707208832841689)","(46.941013003637245, 6.7098428107014065)","(46.941013003637245, 6.712476788561125)","(46.941013003637245, 6.715110766420844)","(46.941013003637245, 6.717744744280563)","(46.941013003637245, 6.720378722140281)","(46.941013003637245, 6.7230127)","(46.941013003637245, 6.725646677859719)","(46.941013003637245, 6.728280655719437)","(46.941013003637245, 6.730914633579156)","(46.941013003637245, 6.7335486114388745)","(46.941013003637245, 6.7361825892985925)","(46.941013003637245, 6.738816567158311)","(46.941013003637245, 6.74145054501803)","(46.941013003637245, 6.744084522877748)","(46.941013003637245, 6.746718500737467)"
"(46.939214362909794, 6.696672921402814)","(46.939214362909794, 6.699306899262533)","(46.939214362909794, 6.701940877122251)","(46.939214362909794, 6.70457485498197)","(46.939214362909794, 6.707208832841689)","(46.939214362909794, 6.7098428107014065)","(46.939214362909794, 6.712476788561125)","(46.939214362909794, 6.715110766420844)","(46.939214362909794, 6.717744744280563)","(46.939214362909794, 6.720378722140281)","(46.939214362909794, 6.7230127)","(46.939214362909794, 6.725646677859719)","(46.939214362909794, 6.728280655719437)","(46.939214362909794, 6.730914633579156)","(46.939214362909794, 6.7335486114388745)","(46.939214362909794, 6.7361825892985925)","(46.939214362909794, 6.738816567158311)","(46.939214362909794, 6.74145054501803)","(46.939214362909794, 6.744084522877748)","(46.939214362909794, 6.746718500737467)"
"(46.93741572218235, 6.696672921402814)","(46.93741572218235, 6.699306899262533)","(46.93741572218235, 6.701940877122251)","(46.93741572218235, 6.70457485498197)","(46.93741572218235, 6.707208832841689)","(46.93741572218235, 6.7098428107014065)","(46.93741572218235, 6.712476788561125)","(46.93741572218235, 6.715110766420844)","(46.93741572218235, 6.717744744280563)","(46.93741572218235, 6.720378722140281)","(46.93741572218235, 6.7230127)","(46.93741572218235, 6.725646677859719)","(46.93741572218235, 6.728280655719437)","(46.93741572218235, 6.730914633579156)","(46.93741572218235, 6.7335486114388745)","(46.93741572218235, 6.7361825892985925)","(46.93741572218235, 6.738816567158311)","(46.93741572218235, 6.74145054501803)","(46.93741572218235, 6.744084522877748)","(46.93741572218235, 6.746718500737467)"
"(46.9356170814549, 6.696672921402814)","(46.9356170814549, 6.699306899262533)","(46.9356170814549, 6.701940877122251)","(46.9356170814549, 6.70457485498197)","(46.9356170814549, 6.707208832841689)","(46.9356170814549, 6.7098428107014065)","(46.9356170814549, 6.712476788561125)","(46.9356170814549, 6.715110766420844)","(46.9356170814549, 6.717744744280563)","(46.9356170814549, 6.720378722140281)","(46.9356170814549, 6.7230127)","(46.9356170814549, 6.725646677859719)","(46.9356170814549, 6.728280655719437)","(46.9356170814549, 6.730914633579156)","(46.9356170814549, 6.7335486114388745)","(46.9356170814549, 6.7361825892985925)","(46.9356170814549, 6.738816567158311)","(46.9356170814549, 6.74145054501803)","(46.9356170814549, 6.744084522877748)","(46.9356170814549, 6.746718500737467)"
"(46.93381844072745, 6.696672921402814)","(46.93381844072745, 6.699306899262533)","(46.93381844072745, 6.701940877122251)","(46.93381844072745, 6.70457485498197)","(46.93381844072745, 6.707208832841689)","(46.93381844072745, 6.7098428107014065)","(46.93381844072745, 6.712476788561125)","(46.93381844072745, 6.715110766420844)","(46.93381844072745, 6.717744744280563)","(46.93381844072745, 6.720378722140281)","(46.93381844072745, 6.7230127)","(46.93381844072745, 6.725646677859719)","(46.93381844072745, 6.728280655719437)","(46.93381844072745, 6.730914633579156)","(46.93381844072745, 6.7335486114388745)","(46.93381844072745, 6.7361825892985925)","(46.93381844072745, 6.738816567158311)","(46.93381844072745, 6.74145054501803)","(46.93381844072745, 6.744084522877748)","(46.93381844072745, 6.746718500737467)"
"(46.9320198, 6.696672921402814)","(46.9320198, 6.699306899262533)","(46.9320198, 6.701940877122251)","(46.9320198, 6.70457485498197)","(46.9320198, 6.707208832841689)","(46.9320198, 6.7098428107014065)","(46.9320198, 6.712476788561125)","(46.9320198, 6.715110766420844)","(46.9320198, 6.717744744280563)","(46.9320198, 6.720378722140281)","(46.9320198, 6.7230127)","(46.9320198, 6.725646677859719)","(46.9320198, 6.728280655719437)","(46.9320198, 6.730914633579156)","(46.9320198, 6.7335486114388745)","(46.9320198, 6.7361825892985925)","(46.9320198, 6.738816567158311)","(46.9320198, 6.74145054501803)","(46.9320198, 6.744084522877748)","(46.9320198, 6.746718500737467)"
"(46.93022115927255, 6.696672921402814)","(46.93022115927255, 6.699306899262533)","(46.93022115927255, 6.701940877122251)","(46.93022115927255, 6.70457485498197)","(46.93022115927255, 6.707208832841689)","(46.93022115927255, 6.7098428107014065)","(46.93022115927255, 6.712476788561125)","(46.93022115927255, 6.715110766420844)","(46.93022115927255, 6.717744744280563)","(46.93022115927255, 6.720378722140281)","(46.93022115927255, 6.7230127)","(46.93022115927255, 6.725646677859719)","(46.93022115927255, 6.728280655719437)","(46.93022115927255, 6.730914633579156)","(46.93022115927255, 6.7335486114388745)","(46.93022115927255, 6.7361825892985925)","(46.93022115927255, 6.738816567158311)","(46.93022115927255, 6.74145054501803)","(46.93022115927255, 6.744084522877748)","(46.93022115927255, 6.746718500737467)"
"(46.928422518545105, 6.696672921402814)","(46.928422518545105, 6.699306899262533)","(46.928422518545105, 6.701940877122251)","(46.928422518545105, 6.70457485498197)","(46.928422518545105, 6.707208832841689)","(46.928422518545105, 6.7098428107014065)","(46.928422518545105, 6.712476788561125)","(46.928422518545105, 6.715110766420844)","(46.928422518545105, 6.717744744280563)","(46.928422518545105, 6.720378722140281)","(46.928422518545105, 6.7230127)","(46.928422518545105, 6.725646677859719)","(46.928422518545105, 6.728280655719437)","(46.928422518545105, 6.730914633579156)","(46.928422518545105, 6.7335486114388745)","(46.928422518545105, 6.7361825892985925)","(46.928422518545105, 6.738816567158311)","(46.928422518545105, 6.74145054501803)","(46.928422518545105, 6.744084522877748)","(46.928422518545105, 6.746718500737467)"
"(46.926623877817654, 6.696672921402814)","(46.926623877817654, 6.699306899262533)","(46.926623877817654, 6.701940877122251)","(46.926623877817654, 6.70457485498197)","(46.926623877817654, 6.707208832841689)","(46.926623877817654, 6.7098428107014065)","(46.926623877817654, 6.712476788561125)","(46.926623877817654, 6.715110766420844)","(46.926623877817654, 6.717744744280563)","(46.926623877817654, 6.720378722140281)","(46.926623877817654, 6.7230127)","(46.926623877817654, 6.725646677859719)","(46.926623877817654, 6.728280655719437)","(46.926623877817654, 6.730914633579156)","(46.926623877817654, 6.7335486114388745)","(46.926623877817654, 6.7361825892985925)","(46.926623877817654, 6.738816567158311)","(46.926623877817654, 6.74145054501803)","(46.926623877817654, 6.744084522877748)","(46.926623877817654, 6.746718500737467)"
"(46.924825237090204, 6.696672921402814)","(46.924825237090204, 6.699306899262533)","(46.924825237090204, 6.701940877122251)","(46.924825237090204, 6.70457485498197)","(46.924825237090204, 6.707208832841689)","(46.924825237090204, 6.7098428107014065)","(46.924825237090204, 6.712476788561125)","(46.924825237090204, 6.715110766420844)","(46.924825237090204, 6.717744744280563)","(46.924825237090204, 6.720378722140281)","(46.924825237090204, 6.7230127)","(46.924825237090204, 6.725646677859719)","(46.924825237090204, 6.728280655719437)","(46.924825237090204, 6.730914633579156)","(46.924825237090204, 6.7335486114388745)","(46.924825237090204, 6.7361825892985925)","(46.924825237090204, 6.738816567158311)","(46.924825237090204, 6.74145054501803)","(46.924825237090204, 6.744084522877748)","(46.924825237090204, 6.746718500737467)"
